Date,Type,region,number,change,growth,log_RR,country
2020-03-17,intensive,Region Sjælland,7,3,0.75,0.24303804868629442,Denmark
2020-03-18,intensive,Region Sjælland,7,0,0,0,Denmark
2020-03-19,intensive,Region Sjælland,7,0,0,0,Denmark
2020-03-20,intensive,Region Sjælland,9,2,0.2857142857142857,0.109144469425068,Denmark
2020-03-21,intensive,Region Sjælland,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-22,intensive,Region Sjælland,9,-1,-0.1,-0.045757490560675115,Denmark
2020-03-23,intensive,Region Sjælland,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-24,intensive,Region Sjælland,10,0,0,0,Denmark
2020-03-25,intensive,Region Sjælland,11,1,0.1,0.04139268515822507,Denmark
2020-03-26,intensive,Region Sjælland,13,2,0.18181818181818182,0.07255066714861175,Denmark
2020-03-27,intensive,Region Sjælland,14,1,0.07692307692307693,0.032184683371401235,Denmark
2020-03-28,intensive,Region Sjælland,14,0,0,0,Denmark
2020-03-29,intensive,Region Sjælland,18,4,0.2857142857142857,0.109144469425068,Denmark
2020-03-30,intensive,Region Sjælland,22,4,0.2222222222222222,0.0871501757189002,Denmark
2020-03-31,intensive,Region Sjælland,19,-3,-0.13636363636363635,-0.06366907986937727,Denmark
2020-04-01,intensive,Region Sjælland,20,1,0.05263157894736842,0.02227639471115221,Denmark
2020-04-02,intensive,Region Sjælland,21,1,0.05,0.021189299069938092,Denmark
2020-04-03,intensive,Region Sjælland,18,-3,-0.14285714285714285,-0.06694678963061317,Denmark
2020-04-04,intensive,Region Sjælland,17,-1,-0.05555555555555555,-0.024823583725032152,Denmark
2020-04-05,intensive,Region Sjælland,20,3,0.17647058823529413,0.07058107428570727,Denmark
2020-04-06,intensive,Region Sjælland,17,-3,-0.15,-0.07058107428570727,Denmark
2020-04-07,intensive,Region Sjælland,17,0,0,0,Denmark
2020-04-08,intensive,Region Sjælland,17,0,0,0,Denmark
2020-03-16,respirator,Region Sjælland,0,,,,Denmark
2020-03-17,respirator,Region Sjælland,0,0,NaN,NaN,Denmark
2020-03-18,respirator,Region Sjælland,7,7,Inf,Inf,Denmark
2020-03-19,respirator,Region Sjælland,7,0,0,0,Denmark
2020-03-20,respirator,Region Sjælland,8,1,0.14285714285714285,0.05799194697768673,Denmark
2020-03-21,respirator,Region Sjælland,9,1,0.125,0.05115252244738129,Denmark
2020-03-22,respirator,Region Sjælland,8,-1,-0.1111111111111111,-0.05115252244738131,Denmark
2020-03-23,respirator,Region Sjælland,10,2,0.25,0.09691001300805642,Denmark
2020-03-24,respirator,Region Sjælland,10,0,0,0,Denmark
2020-03-25,respirator,Region Sjælland,11,1,0.1,0.04139268515822507,Denmark
2020-03-26,respirator,Region Sjælland,11,0,0,0,Denmark
2020-03-27,respirator,Region Sjælland,11,0,0,0,Denmark
2020-03-28,respirator,Region Sjælland,12,1,0.09090909090909091,0.037788560889399754,Denmark
2020-03-29,respirator,Region Sjælland,14,2,0.16666666666666666,0.06694678963061322,Denmark
2020-03-30,respirator,Region Sjælland,16,2,0.14285714285714285,0.05799194697768673,Denmark
2020-03-31,respirator,Region Sjælland,16,0,0,0,Denmark
2020-04-01,respirator,Region Sjælland,17,1,0.0625,0.026328938722349145,Denmark
2020-04-02,respirator,Region Sjælland,14,-3,-0.17647058823529413,-0.08432088570003592,Denmark
2020-04-03,respirator,Region Sjælland,13,-1,-0.07142857142857142,-0.03218468337140124,Denmark
2020-04-04,respirator,Region Sjælland,13,0,0,0,Denmark
2020-04-05,respirator,Region Sjælland,12,-1,-0.07692307692307693,-0.03476210625921192,Denmark
2020-04-06,respirator,Region Sjælland,12,0,0,0,Denmark
2020-04-07,respirator,Region Sjælland,14,2,0.16666666666666666,0.06694678963061322,Denmark
2020-04-08,respirator,Region Sjælland,13,-1,-0.07142857142857142,-0.03218468337140124,Denmark
2020-03-16,hospitalized,Region Syddanmark,9,,,,Denmark
2020-03-17,hospitalized,Region Syddanmark,10,1,0.1111111111111111,0.04575749056067514,Denmark
2020-03-18,hospitalized,Region Syddanmark,12,2,0.2,0.07918124604762482,Denmark
2020-03-19,hospitalized,Region Syddanmark,15,3,0.25,0.09691001300805642,Denmark
2020-03-20,hospitalized,Region Syddanmark,22,7,0.4666666666666667,0.16633142176652504,Denmark
2020-03-21,hospitalized,Region Syddanmark,26,4,0.18181818181818182,0.07255066714861175,Denmark
2020-03-22,hospitalized,Region Syddanmark,26,0,0,0,Denmark
2020-03-23,hospitalized,Region Syddanmark,29,3,0.11538461538461539,0.047424649928138135,Denmark
2020-03-24,hospitalized,Region Syddanmark,36,7,0.2413793103448276,0.09390450286833119,Denmark
2020-03-25,hospitalized,Region Syddanmark,47,11,0.3055555555555556,0.11579535716843022,Denmark
2020-03-26,hospitalized,Region Syddanmark,51,4,0.0851063829787234,0.035472318162218866,Denmark
2020-03-27,hospitalized,Region Syddanmark,54,3,0.058823529411764705,0.024823583725032145,Denmark
2020-03-28,hospitalized,Region Syddanmark,66,12,0.2222222222222222,0.0871501757189002,Denmark
2020-03-29,hospitalized,Region Syddanmark,79,13,0.19696969696969696,0.07808315574857276,Denmark
2020-03-30,hospitalized,Region Syddanmark,83,4,0.05063291139240506,0.021451001085632495,Denmark
2020-03-31,hospitalized,Region Syddanmark,79,-4,-0.04819277108433735,-0.021451001085632495,Denmark
2020-04-01,hospitalized,Region Syddanmark,82,3,0.0379746835443038,0.016186761093275253,Denmark
2020-04-02,hospitalized,Region Syddanmark,85,3,0.036585365853658534,0.015605073330576055,Denmark
2020-04-03,hospitalized,Region Syddanmark,83,-2,-0.023529411764705882,-0.01034083333821884,Denmark
2020-04-04,hospitalized,Region Syddanmark,84,1,0.012048192771084338,0.005201193685807723,Denmark
2020-04-05,hospitalized,Region Syddanmark,78,-6,-0.07142857142857142,-0.03218468337140124,Denmark
2020-04-06,hospitalized,Region Syddanmark,73,-5,-0.0641025641025641,-0.0287717425700245,Denmark
2020-04-07,hospitalized,Region Syddanmark,71,-2,-0.0273972602739726,-0.012064511401380614,Denmark
2020-04-08,hospitalized,Region Syddanmark,66,-5,-0.07042253521126761,-0.03171441317720662,Denmark
2020-03-16,intensive,Region Syddanmark,0,,,,Denmark
2020-03-17,intensive,Region Syddanmark,1,1,Inf,Inf,Denmark
2020-03-18,intensive,Region Syddanmark,2,1,1,0.3010299956639812,Denmark
2020-03-19,intensive,Region Syddanmark,4,2,1,0.3010299956639812,Denmark
2020-03-20,intensive,Region Syddanmark,5,1,0.25,0.09691001300805642,Denmark
2020-03-21,intensive,Region Syddanmark,6,1,0.2,0.07918124604762482,Denmark
2020-03-22,intensive,Region Syddanmark,6,0,0,0,Denmark
2020-03-23,intensive,Region Syddanmark,6,0,0,0,Denmark
2020-03-24,intensive,Region Syddanmark,7,1,0.16666666666666666,0.06694678963061322,Denmark
2020-03-25,intensive,Region Syddanmark,13,6,0.8571428571428571,0.26884531229257996,Denmark
2020-03-26,intensive,Region Syddanmark,14,1,0.07692307692307693,0.032184683371401235,Denmark
2020-03-27,intensive,Region Syddanmark,14,0,0,0,Denmark
2020-03-28,intensive,Region Syddanmark,18,4,0.2857142857142857,0.109144469425068,Denmark
2020-03-29,intensive,Region Syddanmark,17,-1,-0.05555555555555555,-0.024823583725032152,Denmark
2020-03-30,intensive,Region Syddanmark,21,4,0.23529411764705882,0.09177037335564536,Denmark
2020-03-31,intensive,Region Syddanmark,22,1,0.047619047619047616,0.02020338608828699,Denmark
2020-04-01,intensive,Region Syddanmark,23,1,0.045454545454545456,0.019305155195386624,Denmark
2020-04-02,intensive,Region Syddanmark,26,3,0.13043478260869565,0.05324551195322505,Denmark
2020-04-03,intensive,Region Syddanmark,25,-1,-0.038461538461538464,-0.017033339298780342,Denmark
2020-04-04,intensive,Region Syddanmark,25,0,0,0,Denmark
2020-04-05,intensive,Region Syddanmark,25,0,0,0,Denmark
2020-04-06,intensive,Region Syddanmark,23,-2,-0.08,-0.03621217265444471,Denmark
2020-04-07,intensive,Region Syddanmark,22,-1,-0.043478260869565216,-0.01930515519538663,Denmark
2020-04-08,intensive,Region Syddanmark,22,0,0,0,Denmark
2020-03-16,respirator,Region Syddanmark,0,,,,Denmark
2020-03-17,respirator,Region Syddanmark,1,1,Inf,Inf,Denmark
2020-03-18,respirator,Region Syddanmark,2,1,1,0.3010299956639812,Denmark
2020-03-19,respirator,Region Syddanmark,4,2,1,0.3010299956639812,Denmark
2020-03-20,respirator,Region Syddanmark,5,1,0.25,0.09691001300805642,Denmark
2020-03-21,respirator,Region Syddanmark,6,1,0.2,0.07918124604762482,Denmark
2020-03-22,respirator,Region Syddanmark,5,-1,-0.16666666666666666,-0.07918124604762482,Denmark
2020-03-23,respirator,Region Syddanmark,6,1,0.2,0.07918124604762482,Denmark
2020-03-24,respirator,Region Syddanmark,7,1,0.16666666666666666,0.06694678963061322,Denmark
2020-03-25,respirator,Region Syddanmark,12,5,0.7142857142857143,0.23408320603336805,Denmark
2020-03-26,respirator,Region Syddanmark,12,0,0,0,Denmark
2020-03-27,respirator,Region Syddanmark,13,1,0.08333333333333333,0.03476210625921191,Denmark
2020-03-28,respirator,Region Syddanmark,17,4,0.3076923076923077,0.11650556907143717,Denmark
2020-03-29,respirator,Region Syddanmark,17,0,0,0,Denmark
2020-03-30,respirator,Region Syddanmark,19,2,0.11764705882352941,0.04830467957455504,Denmark
2020-03-31,respirator,Region Syddanmark,22,3,0.15789473684210525,0.0636690798693773,Denmark
2020-04-01,respirator,Region Syddanmark,22,0,0,0,Denmark
2020-04-02,respirator,Region Syddanmark,25,3,0.13636363636363635,0.05551732784983133,Denmark
2020-04-03,respirator,Region Syddanmark,24,-1,-0.04,-0.017728766960431602,Denmark
2020-04-04,respirator,Region Syddanmark,25,1,0.041666666666666664,0.017728766960431616,Denmark
2020-04-05,respirator,Region Syddanmark,23,-2,-0.08,-0.03621217265444471,Denmark
2020-04-06,respirator,Region Syddanmark,23,0,0,0,Denmark
2020-04-07,respirator,Region Syddanmark,22,-1,-0.043478260869565216,-0.01930515519538663,Denmark
2020-04-08,respirator,Region Syddanmark,21,-1,-0.045454545454545456,-0.02020338608828695,Denmark
